Patent_No,Publication_Number,Priority_Date,Publication_Date,Examiner_Cited
US9594217,US20080011514A1,7/14/2006,1/17/2008, 
US9594217,US20100074587A1,9/16/2008,3/25/2010,*
US9594217,US7748660B2,6/22/2007,7/6/2010, 
US9594217,CN202583564U,5/3/2012,12/5/2012, 
US9594217,CN202837598U,8/7/2012,3/27/2013, 
US9310577,US2773940A,6/21/1951,12/11/1956,*
US9310577,US3833840A,6/14/1973,9/3/1974,*
US9310577,US4989317A,11/21/1988,2/5/1991,*
US9310577,US5175673A,10/10/1990,12/29/1992,*
US9310577,US5323454A,2/21/1992,6/21/1994,*
US9310577,US5448675A,6/9/1994,9/5/1995,*
US9310577,US5461693A,7/14/1994,10/24/1995,*
US9310577,US5566836A,6/1/1995,10/22/1996,*
US9310577,US5659648A,9/29/1995,8/19/1997,*
US9310577,US5712942A,5/13/1996,1/27/1998,*
US9310577,US5793909A,9/9/1996,8/11/1998,*
US9310577,US5901033A,5/13/1997,5/4/1999,*
US9310577,US6175079B1,6/3/1999,1/16/2001,*
US9310577,US6215938B1,9/21/1998,4/10/2001, 
US9310577,US6487356B1,7/31/2000,11/26/2002,*
US9310577,US6489565B1,9/15/2000,12/3/2002,*
US9310577,US6587630B2,6/1/2001,7/1/2003,*
US9310577,US6616344B1,9/8/1997,9/9/2003,*
US9310577,US20030194187A1,4/12/2002,10/16/2003,*
US9310577,US20040114326A1,12/12/2002,6/17/2004, 
US9310577,US6760531B1,3/1/1999,7/6/2004,*
US9310577,US20050029004A1,4/29/2004,2/10/2005,*
US9310577,US6870095B1,9/29/2003,3/22/2005,*
US9310577,US6885564B2,2/11/2003,4/26/2005,*
US9310577,US20050220393A1,3/30/2004,10/6/2005, 
US9310577,US7142764B2,3/20/2003,11/28/2006, 
US9310577,US20070036506A1,8/9/2004,2/15/2007,*
US9310577,US7233731B2,7/2/2003,6/19/2007, 
US9310577,US20070230148A1,3/31/2006,10/4/2007,*
US9310577,US20080151524A1,12/20/2006,6/26/2008,*
US9310577,US20080247723A1,8/2/2005,10/9/2008, 
US9310577,US7439449B1,2/14/2002,10/21/2008,*
US9310577,US20090236117A1,1/7/2008,9/24/2009,*
US9310577,US20090245743A1,3/27/2008,10/1/2009,*
US9310577,US20090283488A1,5/19/2008,11/19/2009,*
US9310577,US20100006317A1,7/9/2007,1/14/2010,*
US9310577,US20100027953A1,5/6/2008,2/4/2010,*
US9310577,US7760516B2,3/17/2006,7/20/2010,*
US9310577,US20110044020A1,7/9/2007,2/24/2011, 
US9310577,US20110192631A1,2/11/2010,8/11/2011,*
US9310577,US20120019177A1,7/20/2010,1/26/2012,*
US9310577,US8410364B2,7/21/2010,4/2/2013,*
US9261663,US1276825A,7/21/1916,8/27/1918, 
US9261663,US1442999A,3/3/1921,1/23/1923, 
US9261663,US1446410A,3/31/1922,2/20/1923, 
US9261663,US1474580A,2/19/1923,11/20/1923, 
US9261663,USRE20995E,,2/7/1939, 
US9261663,US2502496A,9/30/1944,4/4/1950, 
US9261663,US2521226A,9/7/1946,9/5/1950, 
US9261663,US2727703A,11/15/1952,12/20/1955, 
US9261663,US3131729A,12/4/1959,5/5/1964, 
US9261663,US3657491A,5/28/1970,4/18/1972, 
US9261663,US3667417A,4/24/1970,6/6/1972, 
US9261663,US3920308A,4/1/1974,11/18/1975, 
US9261663,US3940086A,11/23/1973,2/24/1976, 
US9261663,US4053118A,5/21/1976,10/11/1977, 
US9261663,US4081258A,5/12/1976,3/28/1978, 
US9261663,US4384688A,5/26/1981,5/24/1983, 
US9261663,FR2566997A1,7/3/1984,1/10/1986, 
US9261663,US4587801A,5/30/1984,5/13/1986, 
US9261663,US4635875A,1/19/1984,1/13/1987, 
US9261663,US4666237A,1/27/1983,5/19/1987, 
US9261663,US4767073A,9/10/1984,8/30/1988, 
US9261663,US4869437A,7/16/1987,9/26/1989, 
US9261663,US4883337A,8/29/1988,11/28/1989, 
US9261663,US4913369A,6/2/1989,4/3/1990, 
US9261663,US4940859A,7/24/1989,7/10/1990, 
US9261663,US4939798A,10/17/1988,7/10/1990, 
US9261663,US5016554A,3/29/1990,5/21/1991, 
US9261663,US5066256A,2/17/1989,11/19/1991, 
US9261663,US5074863A,10/12/1990,12/24/1991, 
US9261663,US5185843A,1/28/1992,2/9/1993, 
US9261663,US5265815A,6/17/1992,11/30/1993, 
US9261663,US5280861A,11/25/1992,1/25/1994, 
US9261663,DE4226368A1,8/9/1992,2/10/1994, 
US9261663,US5317663A,5/20/1993,5/31/1994, 
US9261663,US5326040A,4/23/1993,7/5/1994, 
US9261663,US5335874A,11/20/1992,8/9/1994, 
US9261663,US5494234A,2/8/1994,2/27/1996, 
US9261663,US5494446A,1/5/1994,2/27/1996, 
US9261663,US5497444A,1/21/1994,3/5/1996, 
US9261663,US5519275A,3/18/1994,5/21/1996, 
US9261663,US5522561A,6/3/1992,6/4/1996, 
US9261663,US5544836A,6/3/1994,8/13/1996, 
US9261663,US5551545A,3/18/1994,9/3/1996, 
US9261663,US5638481A,9/26/1995,6/10/1997, 
US9261663,US5657412A,2/2/1995,8/12/1997, 
US9261663,JPH09236709A,2/28/1996,9/9/1997, 
US9261663,US5703990A,3/14/1996,12/30/1997, 
US9261663,US5709347A,7/24/1995,1/20/1998, 
US9261663,US5718397A,12/23/1996,2/17/1998, 
US9261663,US5749148A,12/22/1993,5/12/1998, 
US9261663,US5787219A,3/20/1996,7/28/1998, 
US9261663,US5915640A,2/14/1996,6/29/1999, 
US9261663,US5956449A,2/26/1997,9/21/1999, 
US9261663,US5987203A,10/9/1997,11/16/1999, 
US9261663,US5992787A,2/6/1997,11/30/1999, 
US9261663,JPH11349230A,6/9/1998,12/21/1999, 
US9261663,US6091876A,6/18/1998,7/18/2000,*
US9261663,US6220413B1,10/19/1999,4/24/2001, 
US9261663,EP1107031A1,12/7/1999,6/13/2001, 
US9261663,US6315598B1,2/1/2000,11/13/2001, 
US9261663,US20010048044A1,5/30/2000,12/6/2001, 
US9261663,US20020003186A1,7/6/2000,1/10/2002, 
US9261663,US20020023814A1,2/29/2000,2/28/2002, 
US9261663,US6367347B1,8/4/1998,4/9/2002, 
US9261663,US20020126980A1,9/21/2000,9/12/2002, 
US9261663,US20020164121A1,3/15/2001,11/7/2002, 
US9261663,US20020171002A1,5/21/2001,11/21/2002, 
US9261663,US6522826B2,5/11/2001,2/18/2003, 
US9261663,US20030037480A1,8/22/2001,2/27/2003, 
US9261663,JP2003114339A,10/4/2001,4/18/2003, 
US9261663,US6591051B2,11/16/2001,7/8/2003, 
US9261663,US6616080B1,4/28/1999,9/9/2003, 
US9261663,US6669129B1,8/31/2001,12/30/2003, 
US9261663,US6711339B2,5/31/2002,3/23/2004, 
US9261663,US6745971B1,9/20/2000,6/8/2004,*
US9261663,US20040170369A1,2/28/2003,9/2/2004,*
US9261663,US20040244430A1,6/5/2003,12/9/2004, 
US9261663,US6856748B1,9/30/2003,2/15/2005, 
US9261663,JP2005073365A,8/22/2003,3/17/2005, 
US9261663,KR200380996Y1,1/25/2005,4/8/2005, 
US9261663,US20050145522A1,12/24/2003,7/7/2005,*
US9261663,US6937725B2,12/7/2001,8/30/2005, 
US9261663,JP2005249858A,3/1/2004,9/15/2005, 
US9261663,US20050213920A1,2/20/2004,9/29/2005, 
US9261663,US20050247136A1,5/7/2004,11/10/2005, 
US9261663,US20050258411A1,7/9/2002,11/24/2005, 
US9261663,US6997410B1,9/8/2004,2/14/2006, 
US9261663,US7000863B2,9/29/2003,2/21/2006, 
US9261663,US7011538B2,6/2/2004,3/14/2006, 
US9261663,US7017721B1,9/29/2004,3/28/2006, 
US9261663,US20060163403A1,1/4/2005,7/27/2006, 
US9261663,US20060183362A1,4/7/2006,8/17/2006, 
US9261663,US20060210230A1,3/16/2005,9/21/2006, 
US9261663,US20070025675A1,7/27/2005,2/1/2007, 
US9261663,CN1914776A,10/29/2003,2/14/2007, 
US9261663,US20070036506A1,8/9/2004,2/15/2007,*
US9261663,US7220144B1,2/1/2000,5/22/2007, 
US9261663,US20070165995A1,8/30/2005,7/19/2007, 
US9261663,US20070189691A1,2/13/2006,8/16/2007, 
US9261663,US20080035778A1,8/14/2006,2/14/2008, 
US9261663,US20080037945A1,8/9/2006,2/14/2008, 
US9261663,US7364108B2,5/14/2004,4/29/2008, 
US9261663,US7369739B2,8/8/2005,5/6/2008, 
US9261663,US20080118207A1,1/24/2005,5/22/2008,*
US9261663,US7397997B2,3/8/2004,7/8/2008, 
US9261663,US7400814B1,1/13/2007,7/15/2008, 
US9261663,US20080218947A1,3/8/2007,9/11/2008, 
US9261663,US20080236209A1,3/28/2007,10/2/2008, 
US9261663,WO2008137894A1,5/7/2007,11/13/2008, 
US9261663,US20080315030A1,6/22/2007,12/25/2008, 
US9261663,US7477829B2,4/27/2006,1/13/2009, 
US9261663,US20090074370A1,8/6/2007,3/19/2009, 
US9261663,US7533841B1,6/9/2000,5/19/2009, 
US9261663,US7546018B2,1/13/2007,6/9/2009, 
US9261663,US20090190894A1,11/16/2007,7/30/2009, 
US9261663,WO2009108846A2,2/27/2008,9/3/2009, 
US9261663,US20090317047A1,6/19/2008,12/24/2009, 
US9261663,WO2010001160A1,7/4/2008,1/7/2010, 
US9261663,US20100054680A1,8/27/2008,3/4/2010, 
US9261663,US7676136B2,6/26/2008,3/9/2010, 
US9261663,US20100166376A1,12/31/2008,7/1/2010, 
US9261663,US7809234B2,6/18/2004,10/5/2010, 
US9261663,US7869682B2,9/5/2007,1/11/2011, 
US9261663,US20110044599A1,7/21/2009,2/24/2011, 
US9261663,US8009954B2,4/21/2008,8/30/2011, 
US9261663,US20110222829A1,3/11/2010,9/15/2011, 
US9261663,WO2011156969A1,6/18/2010,12/22/2011, 
US9261663,US8265447B2,9/16/2008,9/11/2012, 
US9239442,US4650933A,7/15/1985,3/17/1987, 
US9239442,US4768961A,10/9/1987,9/6/1988, 
US9239442,US4770639A,3/2/1987,9/13/1988, 
US9239442,US4797114A,3/2/1987,1/10/1989, 
US9239442,US4820200A,2/13/1987,4/11/1989, 
US9239442,US4840568A,3/31/1987,6/20/1989, 
US9239442,US5189410A,12/28/1989,2/23/1993, 
US9239442,DE4130706A1,9/14/1991,3/18/1993, 
US9239442,US5199878A,11/15/1990,4/6/1993, 
US9239442,US5214673A,8/4/1989,5/25/1993, 
US9239442,US5274978A,9/11/1991,1/4/1994,*
US9239442,US5317663A,5/20/1993,5/31/1994, 
US9239442,US5339379A,6/18/1993,8/16/1994, 
US9239442,US5363465A,2/19/1993,11/8/1994, 
US9239442,US5393249A,6/30/1993,2/28/1995, 
US9239442,US5432875A,2/19/1993,7/11/1995, 
US9239442,US5467062A,4/2/1992,11/14/1995, 
US9239442,US5497444A,1/21/1994,3/5/1996, 
US9239442,EP0730177A2,2/28/1995,9/4/1996, 
US9239442,GB2300978A,4/19/1995,11/20/1996, 
US9239442,WO1996036896A1,5/15/1995,11/21/1996, 
US9239442,US5582525A,1/12/1995,12/10/1996, 
US9239442,US5627925A,4/7/1995,5/6/1997, 
US9239442,US5685741A,6/27/1996,11/11/1997, 
US9239442,US5694511A,9/9/1996,12/2/1997, 
US9239442,US5701380A,6/24/1996,12/23/1997, 
US9239442,EP0828356A2,9/9/1996,3/11/1998, 
US9239442,US5946440A,11/17/1997,8/31/1999, 
US9239442,US6078718A,6/18/1996,6/20/2000,*
US9239442,US6116961A,11/12/1998,9/12/2000, 
US9239442,WO2000075706A2,6/3/1999,12/14/2000, 
US9239442,US6208796B1,7/21/1998,3/27/2001, 
US9239442,EP1092996A2,10/15/1999,4/18/2001, 
US9239442,US6226111B1,12/6/1996,5/1/2001, 
US9239442,EP1107031A1,12/7/1999,6/13/2001, 
US9239442,US6263136B1,10/29/1999,7/17/2001, 
US9239442,US6328608B1,2/28/1997,12/11/2001, 
US9239442,EP1179745A2,8/10/2000,2/13/2002, 
US9239442,US6363183B1,1/4/2000,3/26/2002, 
US9239442,US6370294B1,6/25/1999,4/9/2002, 
US9239442,US20020060629A1,11/20/2000,5/23/2002,*
US9239442,US6418262B1,3/13/2000,7/9/2002, 
US9239442,US6424781B1,3/1/1999,7/23/2002, 
US9239442,WO2002099528A1,6/1/2001,12/12/2002, 
US9239442,WO2002103429A2,11/20/2000,12/27/2002, 
US9239442,US6511330B1,8/24/2001,1/28/2003, 
US9239442,US6532332B2,2/15/2001,3/11/2003, 
US9239442,US6535682B1,3/1/1999,3/18/2003, 
US9239442,US6554652B1,2/15/2002,4/29/2003, 
US9239442,US6579014B2,9/28/2001,6/17/2003, 
US9239442,US6591051B2,11/16/2001,7/8/2003, 
US9239442,US6599024B2,4/11/2001,7/29/2003, 
US9239442,US6614953B2,3/16/2001,9/2/2003, 
US9239442,US6616459B2,8/24/2001,9/9/2003, 
US9239442,US6632106B2,7/24/2001,10/14/2003, 
US9239442,US20030202765A1,4/24/2002,10/30/2003, 
US9239442,US6647197B1,6/2/2000,11/11/2003,*
US9239442,WO2003093889A1,5/3/2002,11/13/2003, 
US9239442,US6668108B1,6/2/2000,12/23/2003, 
US9239442,US6688780B2,2/7/2002,2/10/2004, 
US9239442,US6711339B2,5/31/2002,3/23/2004, 
US9239442,US6719382B2,12/22/2000,4/13/2004, 
US9239442,US6761594B2,4/13/2001,7/13/2004, 
US9239442,US6810193B1,11/22/1999,10/26/2004, 
US9239442,EP1473578A2,5/2/2003,11/3/2004, 
US9239442,US6822874B1,11/12/2002,11/23/2004, 
US9239442,US6824312B2,6/4/2001,11/30/2004, 
US9239442,US6832035B1,5/30/2003,12/14/2004, 
US9239442,US6830465B2,8/24/2001,12/14/2004, 
US9239442,US6850685B2,3/27/2002,2/1/2005, 
US9239442,US6863446B2,3/5/2002,3/8/2005, 
US9239442,US6885798B2,9/8/2003,4/26/2005, 
US9239442,US20050105879A1,11/29/2002,5/19/2005, 
US9239442,US20050232565A1,4/16/2004,10/20/2005, 
US9239442,US20050232551A1,4/16/2004,10/20/2005, 
US9239442,US6983095B2,11/17/2003,1/3/2006, 
US9239442,US7029322B2,2/27/2003,4/18/2006, 
US9239442,US7118284B2,9/6/2002,10/10/2006, 
US9239442,US7142764B2,3/20/2003,11/28/2006, 
US9239442,WO2006127397A1,5/25/2005,11/30/2006, 
US9239442,US7177518B2,5/11/2004,2/13/2007,*
US9239442,US20070036503A1,8/10/2005,2/15/2007, 
US9239442,US7190874B1,10/3/2005,3/13/2007, 
US9239442,US7194181B2,3/31/2005,3/20/2007, 
US9239442,US7218827B2,6/18/2004,5/15/2007, 
US9239442,US7233731B2,7/2/2003,6/19/2007, 
US9239442,US7245809B1,12/28/2005,7/17/2007, 
US9239442,US20070189692A1,2/13/2006,8/16/2007, 
US9239442,US7303220B2,9/29/2003,12/4/2007, 
US9239442,US7333606B1,4/13/2000,2/19/2008, 
US9239442,US7346254B2,8/29/2005,3/18/2008, 
US9239442,US7362941B2,1/21/2005,4/22/2008,*
US9239442,US7376322B2,11/3/2004,5/20/2008, 
US9239442,US7400813B2,5/25/2005,7/15/2008, 
US9239442,US7453706B2,11/13/2003,11/18/2008, 
US9239442,US20080304794A1,1/15/2007,12/11/2008,*
US9239442,US7495931B2,11/13/2003,2/24/2009, 
US9239442,US7559704B2,4/5/2006,7/14/2009,*
US9239442,US7636507B2,6/17/2005,12/22/2009, 
US9239442,US20110019964A1,1/15/2009,1/27/2011,*
US9239442,US7912336B2,10/22/2007,3/22/2011, 
US9219520,US4183054A,9/30/1977,1/8/1980, 
US9219520,US4451916A,5/12/1980,5/29/1984, 
US9219520,US4611323A,5/24/1983,9/9/1986, 
US9219520,US4628501A,12/29/1983,12/9/1986, 
US9219520,US4654843A,9/17/1982,3/31/1987, 
US9219520,US4691292A,4/13/1983,9/1/1987, 
US9219520,US4999831A,10/19/1989,3/12/1991, 
US9219520,WO1991015927A1,4/10/1990,10/17/1991, 
US9219520,EP0391597A3,4/4/1989,1/8/1992, 
US9219520,US5193109A,2/6/1989,3/9/1993, 
US9219520,CA2069462A1,1/9/1992,7/10/1993, 
US9219520,US5243598A,4/2/1991,9/7/1993, 
US9219520,CA2138763A1,7/14/1992,1/20/1994, 
US9219520,US5303287A,8/13/1992,4/12/1994, 
US9219520,WO1994013067A1,11/23/1992,6/9/1994, 
US9219520,US5321736A,1/3/1992,6/14/1994, 
US9219520,US5321849A,5/22/1991,6/14/1994, 
US9219520,US5339184A,6/15/1992,8/16/1994, 
US9219520,CA2156046A1,6/23/1993,1/5/1995, 
US9219520,US5381459A,7/29/1991,1/10/1995, 
US9219520,US5400391A,9/17/1990,3/21/1995, 
US9219520,JPH07131401A,10/28/1993,5/19/1995, 
US9219520,US5461627A,12/24/1991,10/24/1995, 
US9219520,WO1995033350A1,6/1/1994,12/7/1995, 
US9219520,GB2289198B,1/15/1991,1/10/1996, 
US9219520,CA2128842A1,7/26/1994,1/27/1996, 
US9219520,US5519691A,6/3/1994,5/21/1996, 
US9219520,CA2125411E,1/3/1992,6/25/1996, 
US9219520,US5545397A,10/23/1991,8/13/1996, 
US9219520,WO1996028946A1,3/13/1995,9/19/1996, 
US9219520,US5566168A,1/11/1994,10/15/1996, 
US9219520,CA2158386A1,9/15/1995,3/16/1997, 
US9219520,CA2058737C,1/3/1992,3/18/1997, 
US9219520,US5621786A,9/17/1992,4/15/1997, 
US9219520,WO1997016000A1,10/26/1995,5/1/1997, 
US9219520,US5634191A,10/24/1994,5/27/1997, 
US9219520,JPH09192801A,1/19/1996,7/29/1997, 
US9219520,CA2168681A1,2/2/1996,8/3/1997, 
US9219520,WO1997032442A1,2/27/1996,9/4/1997, 
US9219520,US5682256A,11/11/1988,10/28/1997, 
US9219520,US5687195A,12/16/1994,11/11/1997, 
US9219520,US5761619A,3/23/1995,6/2/1998, 
US9219520,US5765099A,4/19/1996,6/9/1998, 
US9219520,GB2320653A,12/23/1996,6/24/1998, 
US9219520,US5781541A,5/3/1995,7/14/1998, 
US9219520,WO1998024256A3,11/25/1996,8/27/1998, 
US9219520,US5802173A,1/15/1991,9/1/1998, 
US9219520,US5805983A,7/18/1996,9/8/1998, 
US9219520,US5809395A,1/15/1991,9/15/1998, 
US9219520,US5822324A,3/16/1995,10/13/1998, 
US9219520,US5845199A,12/5/1996,12/1/1998, 
US9219520,US5867485A,6/14/1996,2/2/1999, 
US9219520,US5867292A,3/22/1996,2/2/1999, 
US9219520,US5870392A,12/28/1995,2/9/1999, 
US9219520,CA2215079A1,9/9/1997,3/9/1999, 
US9219520,US5890055A,7/28/1995,3/30/1999, 
US9219520,US5907544A,5/10/1996,5/25/1999, 
US9219520,WO1999037035A1,1/15/1998,7/22/1999, 
US9219520,US5987014A,7/14/1994,11/16/1999, 
US9219520,US6023628A,8/5/1992,2/8/2000, 
US9219520,EP0876073A3,5/1/1997,3/1/2000, 
US9219520,US6034950A,12/27/1996,3/7/2000, 
US9219520,US6108626A,10/27/1995,8/22/2000, 
US9219520,US6108550A,6/13/1997,8/22/2000, 
US9219520,US6108113A,12/29/1995,8/22/2000, 
US9219520,CA2134365C,10/26/1994,10/3/2000, 
US9219520,US6157659A,12/19/1997,12/5/2000, 
US9219520,US6157810A,4/19/1996,12/5/2000, 
US9219520,US6188693B1,2/14/1996,2/13/2001, 
US9219520,GB2315959B,8/1/1996,2/21/2001, 
US9219520,US6222660B1,6/9/1998,4/24/2001, 
US9219520,US6226274B1,9/24/1998,5/1/2001, 
US9219520,US6246675B1,11/14/1995,6/12/2001, 
US9219520,WO2001074100A1,3/27/2000,10/4/2001, 
US9219520,WO2001082642A1,4/25/2000,11/1/2001, 
US9219520,US20010044292A1,12/22/1999,11/22/2001, 
US9219520,JP2002111571A,9/28/2000,4/12/2002, 
US9219520,US6373887B1,6/30/1998,4/16/2002, 
US9219520,US6377640B2,7/31/1997,4/23/2002, 
US9219520,WO2001074013A3,3/29/2000,8/1/2002, 
US9219520,US6463035B1,12/30/1998,10/8/2002, 
US9219520,US20020167954A1,5/11/2001,11/14/2002, 
US9219520,US20020191565A1,6/8/2001,12/19/2002, 
US9219520,US6498936B1,1/22/1999,12/24/2002, 
US9219520,US20030015943A1,6/28/2001,1/23/2003, 
US9219520,US20030043928A1,2/1/2001,3/6/2003, 
US9219520,US20030053493A1,9/18/2001,3/20/2003, 
US9219520,US6567473B1,3/12/1999,5/20/2003, 
US9219520,US6667973B1,4/29/1998,12/23/2003, 
US9219520,US6674966B1,10/15/1998,1/6/2004, 
US9219520,US20040010609A1,2/8/2000,1/15/2004, 
US9219520,WO2003079645A3,3/11/2002,1/22/2004, 
US9219520,US20040037565A1,8/22/2002,2/26/2004, 
US9219520,US6704545B1,7/19/2000,3/9/2004, 
US9219520,US6729929B1,3/17/1999,5/4/2004, 
US9219520,US20040106387A1,12/3/2002,6/3/2004, 
US9219520,US20040106435A1,12/3/2002,6/3/2004, 
US9219520,JP2004159217A,11/8/2002,6/3/2004, 
US9219520,US6768745B1,4/29/1998,7/27/2004, 
US9219520,US6771933B1,3/26/2001,8/3/2004, 
US9219520,US6785558B1,12/6/2002,8/31/2004, 
US9219520,US6801767B1,1/26/2001,10/5/2004, 
US9219520,US20040198453A1,9/20/2002,10/7/2004, 
US9219520,US20040203339A1,12/3/2002,10/14/2004, 
US9219520,US20040219950A1,5/2/2003,11/4/2004, 
US9219520,US6826164B2,6/8/2001,11/30/2004, 
US9219520,US6826163B2,6/8/2001,11/30/2004, 
US9219520,US6831901B2,5/31/2002,12/14/2004, 
US9219520,US6865390B2,6/25/2001,3/8/2005, 
US9219520,US6917614B1,9/17/1999,7/12/2005, 
US9219520,JP2005198077A,1/8/2004,7/21/2005, 
US9219520,US20050250503A1,5/5/2004,11/10/2005, 
US9219520,KR20050123504A,6/25/2004,12/29/2005, 
US9219520,US20060066484A1,8/14/2002,3/30/2006, 
US9219520,US20060087980A1,9/30/2003,4/27/2006, 
US9219520,US20060094470A1,11/1/2004,5/4/2006, 
US9219520,KR20060057132A,11/23/2004,5/26/2006, 
US9219520,KR20060061013A,12/1/2004,6/7/2006, 
US9219520,US20060121944A1,12/24/2002,6/8/2006, 
US9219520,US20060153070A1,4/5/2004,7/13/2006, 
US9219520,US20060172775A1,2/1/2005,8/3/2006, 
US9219520,US20060178162A1,2/4/2005,8/10/2006, 
US9219520,US20060193295A1,11/19/2004,8/31/2006, 
US9219520,US7127175B2,6/8/2001,10/24/2006, 
US9219520,US20070008939A1,6/10/2005,1/11/2007, 
US9219520,US7205864B2,11/2/2004,4/17/2007, 
US9219520,WO2007074949A1,12/26/2005,7/5/2007, 
US9219520,US7250830B2,12/30/2004,7/31/2007, 
US9219520,US20070201402A1,7/14/2004,8/30/2007, 
US9219520,US20070230590A1,3/29/2006,10/4/2007, 
US9219520,US20070230592A1,3/29/2006,10/4/2007, 
US9219520,US7289972B2,6/25/2004,10/30/2007, 
US9219520,US20070254692A1,4/28/2006,11/1/2007, 
US9219520,US20080062935A1,9/11/2006,3/13/2008, 
US9219520,US20080137561A1,12/6/2006,6/12/2008, 
US9219520,US20080181282A1,1/25/2007,7/31/2008, 
US9219520,US20080212658A1,3/1/2007,9/4/2008, 
US9219520,US20090122731A1,10/1/2007,5/14/2009, 
US9219520,US20090185632A1,11/9/2007,7/23/2009, 
US9219520,US20090224983A1,3/8/2008,9/10/2009, 
US9219520,US20090296609A1,6/2/2008,12/3/2009, 
US9219520,US20090316608A1,6/24/2008,12/24/2009, 
US9219520,US20090318089A1,6/24/2008,12/24/2009, 
US9219520,US20090316609A1,6/24/2008,12/24/2009, 
US9219520,US20090316611A1,6/24/2008,12/24/2009, 
US9219520,US20100041341A1,8/18/2008,2/18/2010, 
US9219520,US7733901B2,2/5/1999,6/8/2010, 
US9219520,US20100165528A1,12/30/2008,7/1/2010, 
US9219520,EP2044784B1,7/17/2006,1/4/2012, 
US9219520,US20120027145A1,7/28/2010,2/2/2012, 
US9219520,US20120106657A1,10/27/2010,5/3/2012, 
US9219520,US20120177026A1,1/12/2011,7/12/2012, 
US9219520,US20130107763A1,10/28/2011,5/2/2013, 
US9219520,EP1924109B1,11/20/2006,11/6/2013, 
US9214759,US835003A,1/8/1906,11/6/1906, 
US9214759,US2434475A,9/21/1944,1/13/1948, 
US9214759,US2552414A,6/8/1948,5/8/1951, 
US9214759,US3001169A,3/29/1956,9/19/1961, 
US9214759,US3601766A,2/13/1969,8/24/1971, 
US9214759,US3710005A,12/31/1970,1/9/1973, 
US9214759,US4408822A,9/22/1980,10/11/1983, 
US9214759,US4737122A,3/18/1986,4/12/1988, 
US9214759,US5186649A,4/30/1992,2/16/1993, 
US9214759,US5195906A,12/27/1991,3/23/1993, 
US9214759,US5389012A,3/2/1994,2/14/1995, 
US9214759,US5393244A,1/25/1994,2/28/1995, 
US9214759,US5531618A,5/30/1989,7/2/1996, 
US9214759,US5877452A,3/13/1997,3/2/1999, 
US9214759,US6017237A,8/26/1996,1/25/2000, 
US9214759,US6019635A,2/25/1998,2/1/2000, 
US9214759,US6293824B1,3/25/1999,9/25/2001, 
US9214759,US6323427B1,5/28/1999,11/27/2001, 
US9214759,US6371794B1,10/13/1998,4/16/2002, 
US9214759,US6439911B1,5/23/2000,8/27/2002, 
US9214759,US6495755B2,4/26/2001,12/17/2002, 
US9214759,US20030199192A1,4/22/2002,10/23/2003, 
US9214759,US6641443B1,9/27/2002,11/4/2003, 
US9214759,US6705884B1,8/16/1999,3/16/2004,*
US9214759,US6786776B2,9/27/2002,9/7/2004, 
US9214759,US6840803B2,2/13/2003,1/11/2005, 
US9214759,US6878009B2,4/17/2002,4/12/2005, 
US9214759,US20050087357A1,10/20/2003,4/28/2005, 
US9214759,US20050092515A1,10/31/2003,5/5/2005, 
US9214759,US20050106929A1,11/17/2003,5/19/2005, 
US9214759,US20050153603A1,1/9/2004,7/14/2005, 
US9214759,US20050202697A1,3/12/2004,9/15/2005, 
US9214759,US6953362B2,8/17/2000,10/11/2005, 
US9214759,US20050287873A1,6/24/2004,12/29/2005, 
US9214759,US6981887B1,8/26/2004,1/3/2006, 
US9214759,US7115815B2,10/31/2003,10/3/2006, 
US9214759,US7144272B1,11/14/2005,12/5/2006, 
US9214759,US7173189B1,11/4/2005,2/6/2007, 
US9214759,US20070144762A1,12/22/2005,6/28/2007, 
US9214759,US20080057778A1,8/29/2006,3/6/2008,*
US9214759,US7375284B2,6/21/2006,5/20/2008, 
US9214759,US7411131B2,6/22/2006,8/12/2008, 
US9214759,US20080318476A1,7/21/2004,12/25/2008, 
US9214759,US20090275228A1,4/30/2008,11/5/2009, 
US9214759,US20110115494A1,10/19/2009,5/19/2011, 
US9214759,US8083551B2,2/6/2007,12/27/2011, 
US9214759,US20120329320A1,6/21/2011,12/27/2012, 
US9214759,US8684763B2,6/21/2011,4/1/2014, 
US9210049,US20040065470A1,9/25/2002,4/8/2004, 
US9210049,US6784802B1,11/4/1999,8/31/2004, 
US9210049,WO2005018150A1,8/6/2003,2/24/2005, 
US9210049,US20060047800A1,8/24/2004,3/2/2006, 
US9210049,US20060160395A1,12/21/2004,7/20/2006, 
US9210049,US20060234564A1,4/15/2005,10/19/2006,*
US9210049,US20060288159A1,6/17/2005,12/21/2006,*
US9210049,EP1796403A2,12/6/2005,6/13/2007, 
US9210049,US7289436B2,1/24/2002,10/30/2007, 
US9210049,US20070288159A1,6/9/2006,12/13/2007, 
US9210049,US20080049627A1,6/14/2005,2/28/2008, 
US9210049,US20110244698A1,2/21/2008,10/6/2011, 
US9210049,US20140111346A1,6/29/2009,4/24/2014,*
US9207417,US5052940A,5/11/1990,10/1/1991, 
US9207417,US5161988A,2/13/1991,11/10/1992, 
US9207417,US5195902A,5/11/1990,3/23/1993, 
US9207417,US5299944A,11/16/1992,4/5/1994, 
US9207417,US5394503A,10/8/1993,2/28/1995, 
